,sl,index,sentence,promptsForPython,promptsForJulius
1115,1116,si1116,Each is still glorified as a national hero.,EACH IS STILL GLORIFIED AS A NATIONAL HERO,*/sample1116 EACH IS STILL GLORIFIED AS A NATIONAL HERO
1116,1117,si1117,He finds it in utter misery and desolation.,HE FINDS IT IN UTTER MISERY AND DESOLATION,*/sample1117 HE FINDS IT IN UTTER MISERY AND DESOLATION
1117,1118,si1118,"As he had longed to be, he became the echo of a saga.",AS HE HAD LONGED TO BE HE BECAME THE ECHO OF A SAGA,*/sample1118 AS HE HAD LONGED TO BE HE BECAME THE ECHO OF A SAGA
1118,1119,si1119,The record teems with romance and adventure.,THE RECORD TEEMS WITH ROMANCE AND ADVENTURE,*/sample1119 THE RECORD TEEMS WITH ROMANCE AND ADVENTURE
1119,1120,si1120,His tough honesty condemns him to a solitary and difficult existence.,HIS TOUGH HONESTY CONDEMNS HIM TO A SOLITARY AND DIFFICULT EXISTENCE,*/sample1120 HIS TOUGH HONESTY CONDEMNS HIM TO A SOLITARY AND DIFFICULT EXISTENCE
1120,1121,si1121,"In either case, they do not appreciate the private detective's zeal.",IN EITHER CASE THEY DO NOT APPRECIATE THE PRIVATE DETECTIVE'S ZEAL,*/sample1121 IN EITHER CASE THEY DO NOT APPRECIATE THE PRIVATE DETECTIVE'S ZEAL
1121,1122,si1122,His successors have adopted the opposite alternative.,HIS SUCCESSORS HAVE ADOPTED THE OPPOSITE ALTERNATIVE,*/sample1122 HIS SUCCESSORS HAVE ADOPTED THE OPPOSITE ALTERNATIVE
1122,1123,si1123,"They also furnish proof that, in modern war, message sending must be monitored.",THEY ALSO FURNISH PROOF THAT IN MODERN WAR MESSAGE SENDING MUST BE MONITORED,*/sample1123 THEY ALSO FURNISH PROOF THAT IN MODERN WAR MESSAGE SENDING MUST BE MONITORED
1123,1124,si1124,"Let me quote him even more fully, for his analysis is important to my theme.",LET ME QUOTE HIM EVEN MORE FULLY FOR HIS ANALYSIS IS IMPORTANT TO MY THEME,*/sample1124 LET ME QUOTE HIM EVEN MORE FULLY FOR HIS ANALYSIS IS IMPORTANT TO MY THEME
1124,1125,si1125,But in every period it has been humanism.,BUT IN EVERY PERIOD IT HAS BEEN HUMANISM,*/sample1125 BUT IN EVERY PERIOD IT HAS BEEN HUMANISM
1125,1126,si1126,"And let me add, utopianism, also.",AND LET ME ADD UTOPIANISM ALSO,*/sample1126 AND LET ME ADD UTOPIANISM ALSO
1126,1127,si1127,We of the liberal-led world got all set for peace and rehabilitation.,WE OF THE LIBERAL-LED WORLD GOT ALL SET FOR PEACE AND REHABILITATION,*/sample1127 WE OF THE LIBERAL-LED WORLD GOT ALL SET FOR PEACE AND REHABILITATION
1127,1128,si1128,Others invoked technology and common sense.,OTHERS INVOKED TECHNOLOGY AND COMMON SENSE,*/sample1128 OTHERS INVOKED TECHNOLOGY AND COMMON SENSE
1128,1129,si1129,This group is secularist and their program tends to be technological.,THIS GROUP IS SECULARIST AND THEIR PROGRAM TENDS TO BE TECHNOLOGICAL,*/sample1129 THIS GROUP IS SECULARIST AND THEIR PROGRAM TENDS TO BE TECHNOLOGICAL
1129,1130,si1130,Should the accelerating growth of technology then warn us?,SHOULD THE ACCELERATING GROWTH OF TECHNOLOGY THEN WARN US,*/sample1130 SHOULD THE ACCELERATING GROWTH OF TECHNOLOGY THEN WARN US
1130,1131,si1131,But we cannot start off with a clean slate.,BUT WE CANNOT START OFF WITH A CLEAN SLATE,*/sample1131 BUT WE CANNOT START OFF WITH A CLEAN SLATE
1131,1132,si1132,No amount of ballyhoo will cover up the sordid facts.,NO AMOUNT OF BALLYHOO WILL COVER UP THE SORDID FACTS,*/sample1132 NO AMOUNT OF BALLYHOO WILL COVER UP THE SORDID FACTS
1132,1133,si1133,It can project long-range goals for itself.,IT CAN PROJECT LONG-RANGE GOALS FOR ITSELF,*/sample1133 IT CAN PROJECT LONG-RANGE GOALS FOR ITSELF
1133,1134,si1134,Individual human strength is needed to pit against an inhuman condition.,INDIVIDUAL HUMAN STRENGTH IS NEEDED TO PIT AGAINST AN INHUMAN CONDITION,*/sample1134 INDIVIDUAL HUMAN STRENGTH IS NEEDED TO PIT AGAINST AN INHUMAN CONDITION
1134,1135,si1135,Have we not actually developed idea worship?,HAVE WE NOT ACTUALLY DEVELOPED IDEA WORSHIP,*/sample1135 HAVE WE NOT ACTUALLY DEVELOPED IDEA WORSHIP
1135,1136,si1136,We scour literature for them; here we find stored the wisdom of great minds.,WE SCOUR LITERATURE FOR THEM HERE WE FIND STORED THE WISDOM OF GREAT MINDS,*/sample1136 WE SCOUR LITERATURE FOR THEM HERE WE FIND STORED THE WISDOM OF GREAT MINDS
1136,1137,si1137,His name became synonymous with cold-blooded cruelty.,HIS NAME BECAME SYNONYMOUS WITH COLD-BLOODED CRUELTY,*/sample1137 HIS NAME BECAME SYNONYMOUS WITH COLD-BLOODED CRUELTY
1137,1138,si1138,"That doctrine has been accepted by many, but has it produced good results?",THAT DOCTRINE HAS BEEN ACCEPTED BY MANY BUT HAS IT PRODUCED GOOD RESULTS,*/sample1138 THAT DOCTRINE HAS BEEN ACCEPTED BY MANY BUT HAS IT PRODUCED GOOD RESULTS
1138,1139,si1139,In time she presents her aristocratic husband with a coal-black child.,IN TIME SHE PRESENTS HER ARISTOCRATIC HUSBAND WITH A COAL-BLACK CHILD,*/sample1139 IN TIME SHE PRESENTS HER ARISTOCRATIC HUSBAND WITH A COAL-BLACK CHILD
1139,1140,si1140,False ideas surfeit another sector of our life.,FALSE IDEAS SURFEIT ANOTHER SECTOR OF OUR LIFE,*/sample1140 FALSE IDEAS SURFEIT ANOTHER SECTOR OF OUR LIFE
1140,1141,si1141,"The stepmother, almost without exception, has been presented as a cruel ogress.",THE STEPMOTHER ALMOST WITHOUT EXCEPTION HAS BEEN PRESENTED AS A CRUEL OGRESS,*/sample1141 THE STEPMOTHER ALMOST WITHOUT EXCEPTION HAS BEEN PRESENTED AS A CRUEL OGRESS
1141,1142,si1142,Research into several cultures has proven her position to be a mistaken one.,RESEARCH INTO SEVERAL CULTURES HAS PROVEN HER POSITION TO BE A MISTAKEN ONE,*/sample1142 RESEARCH INTO SEVERAL CULTURES HAS PROVEN HER POSITION TO BE A MISTAKEN ONE
1142,1143,si1143,Most assuredly ideas are invaluable.,MOST ASSUREDLY IDEAS ARE INVALUABLE,*/sample1143 MOST ASSUREDLY IDEAS ARE INVALUABLE
1143,1144,si1144,We would establish no censorship.,WE WOULD ESTABLISH NO CENSORSHIP,*/sample1144 WE WOULD ESTABLISH NO CENSORSHIP
1144,1145,si1145,"Ironically enough, in this instance such personal virtues were a luxury.",IRONICALLY ENOUGH IN THIS INSTANCE SUCH PERSONAL VIRTUES WERE A LUXURY,*/sample1145 IRONICALLY ENOUGH IN THIS INSTANCE SUCH PERSONAL VIRTUES WERE A LUXURY
1145,1146,si1146,"We knew that it was, as reassurance, the ironic fruit of a deeply moral nature.",WE KNEW THAT IT WAS AS REASSURANCE THE IRONIC FRUIT OF A DEEPLY MORAL NATURE,*/sample1146 WE KNEW THAT IT WAS AS REASSURANCE THE IRONIC FRUIT OF A DEEPLY MORAL NATURE
1146,1147,si1147,Civilization is what man has made of himself.,CIVILIZATION IS WHAT MAN HAS MADE OF HIMSELF,*/sample1147 CIVILIZATION IS WHAT MAN HAS MADE OF HIMSELF
1147,1148,si1148,Change involves the displacement of form.,CHANGE INVOLVES THE DISPLACEMENT OF FORM,*/sample1148 CHANGE INVOLVES THE DISPLACEMENT OF FORM
1148,1149,si1149,The response of reaction is dominated by a concern for what is vanishing.,THE RESPONSE OF REACTION IS DOMINATED BY A CONCERN FOR WHAT IS VANISHING,*/sample1149 THE RESPONSE OF REACTION IS DOMINATED BY A CONCERN FOR WHAT IS VANISHING
1149,1150,si1150,"With those paintings of big constructions crashing down, he felt he could stop.",WITH THOSE PAINTINGS OF BIG CONSTRUCTIONS CRASHING DOWN HE FELT HE COULD STOP,*/sample1150 WITH THOSE PAINTINGS OF BIG CONSTRUCTIONS CRASHING DOWN HE FELT HE COULD STOP
1150,1151,si1151,For what do the utopians labor?,FOR WHAT DO THE UTOPIANS LABOR,*/sample1151 FOR WHAT DO THE UTOPIANS LABOR
1151,1152,si1152,You could also say that in these pamphlets is a relieving quality of maturity.,YOU COULD ALSO SAY THAT IN THESE PAMPHLETS IS A RELIEVING QUALITY OF MATURITY,*/sample1152 YOU COULD ALSO SAY THAT IN THESE PAMPHLETS IS A RELIEVING QUALITY OF MATURITY
1152,1153,si1153,"In an ideological argument, the participants tend to thump the table.",IN AN IDEOLOGICAL ARGUMENT THE PARTICIPANTS TEND TO THUMP THE TABLE,*/sample1153 IN AN IDEOLOGICAL ARGUMENT THE PARTICIPANTS TEND TO THUMP THE TABLE
1153,1154,si1154,"Only incomplete, imperfect things move towards what they lack.",ONLY INCOMPLETE IMPERFECT THINGS MOVE TOWARDS WHAT THEY LACK,*/sample1154 ONLY INCOMPLETE IMPERFECT THINGS MOVE TOWARDS WHAT THEY LACK
1154,1155,si1155,"His problem concerns longitudes, latitudes, and angular velocities.",HIS PROBLEM CONCERNS LONGITUDES LATITUDES AND ANGULAR VELOCITIES,*/sample1155 HIS PROBLEM CONCERNS LONGITUDES LATITUDES AND ANGULAR VELOCITIES
1155,1156,si1156,This is what necessitates the nonsystematic character of his astronomy.,THIS IS WHAT NECESSITATES THE NONSYSTEMATIC CHARACTER OF HIS ASTRONOMY,*/sample1156 THIS IS WHAT NECESSITATES THE NONSYSTEMATIC CHARACTER OF HIS ASTRONOMY
1156,1157,si1157,"But, considered within technical astronomy, a different pattern can be traced.",BUT CONSIDERED WITHIN TECHNICAL ASTRONOMY A DIFFERENT PATTERN CAN BE TRACED,*/sample1157 BUT CONSIDERED WITHIN TECHNICAL ASTRONOMY A DIFFERENT PATTERN CAN BE TRACED
1157,1158,si1158,Geocentricism per se?,GEOCENTRICISM PER SE,*/sample1158 GEOCENTRICISM PER SE
1158,1159,si1159,Cut off every building at the seventh floor.,CUT OFF EVERY BUILDING AT THE SEVENTH FLOOR,*/sample1159 CUT OFF EVERY BUILDING AT THE SEVENTH FLOOR
1159,1160,si1160,"Neither his appetites, his exacerbations, nor his despair were kin to yours.",NEITHER HIS APPETITES HIS EXACERBATIONS NOR HIS DESPAIR WERE KIN TO YOURS,*/sample1160 NEITHER HIS APPETITES HIS EXACERBATIONS NOR HIS DESPAIR WERE KIN TO YOURS
1160,1161,si1161,With each song he gave verbal footnotes.,WITH EACH SONG HE GAVE VERBAL FOOTNOTES,*/sample1161 WITH EACH SONG HE GAVE VERBAL FOOTNOTES
1161,1162,si1162,Two things contribute to his popularity.,TWO THINGS CONTRIBUTE TO HIS POPULARITY,*/sample1162 TWO THINGS CONTRIBUTE TO HIS POPULARITY
1162,1163,si1163,No more startling contrast to a system of sullen satellites could be imagined.,NO MORE STARTLING CONTRAST TO A SYSTEM OF SULLEN SATELLITES COULD BE IMAGINED,*/sample1163 NO MORE STARTLING CONTRAST TO A SYSTEM OF SULLEN SATELLITES COULD BE IMAGINED
1163,1164,si1164,"Otherwise, the outlook could be dark indeed.",OTHERWISE THE OUTLOOK COULD BE DARK INDEED,*/sample1164 OTHERWISE THE OUTLOOK COULD BE DARK INDEED
1164,1165,si1165,The continuing modernization of these forces is a costly but necessary process.,THE CONTINUING MODERNIZATION OF THESE FORCES IS A COSTLY BUT NECESSARY PROCESS,*/sample1165 THE CONTINUING MODERNIZATION OF THESE FORCES IS A COSTLY BUT NECESSARY PROCESS
1165,1166,si1166,"In the course of its inquiry, it took testimony from only seven witnesses.",IN THE COURSE OF ITS INQUIRY IT TOOK TESTIMONY FROM ONLY SEVEN WITNESSES,*/sample1166 IN THE COURSE OF ITS INQUIRY IT TOOK TESTIMONY FROM ONLY SEVEN WITNESSES
1166,1167,si1167,We have nothing to hide under a bushel.,WE HAVE NOTHING TO HIDE UNDER A BUSHEL,*/sample1167 WE HAVE NOTHING TO HIDE UNDER A BUSHEL
1167,1168,si1168,It takes a great deal of sophisticated thought to get the impact of this fact.,IT TAKES A GREAT DEAL OF SOPHISTICATED THOUGHT TO GET THE IMPACT OF THIS FACT,*/sample1168 IT TAKES A GREAT DEAL OF SOPHISTICATED THOUGHT TO GET THE IMPACT OF THIS FACT
1168,1169,si1169,They despised foreigners.,THEY DESPISED FOREIGNERS,*/sample1169 THEY DESPISED FOREIGNERS
1169,1170,si1170,He has also an extraordinary conscience.,HE HAS ALSO AN EXTRAORDINARY CONSCIENCE,*/sample1170 HE HAS ALSO AN EXTRAORDINARY CONSCIENCE
1170,1171,si1171,Nor were his manners barbaric.,NOR WERE HIS MANNERS BARBARIC,*/sample1171 NOR WERE HIS MANNERS BARBARIC
1171,1172,si1172,"He was busy, he said, in having someone submit to a monkey-gland operation.",HE WAS BUSY HE SAID IN HAVING SOMEONE SUBMIT TO A MONKEY-GLAND OPERATION,*/sample1172 HE WAS BUSY HE SAID IN HAVING SOMEONE SUBMIT TO A MONKEY-GLAND OPERATION
1172,1173,si1173,He brought her shawls.,HE BROUGHT HER SHAWLS,*/sample1173 HE BROUGHT HER SHAWLS
1173,1174,si1174,It had a tiny envelope tied to its wrist.,IT HAD A TINY ENVELOPE TIED TO ITS WRIST,*/sample1174 IT HAD A TINY ENVELOPE TIED TO ITS WRIST
1174,1175,si1175,"Diversity of perception, yes; diversity of fact, yes.",DIVERSITY OF PERCEPTION YES DIVERSITY OF FACT YES,*/sample1175 DIVERSITY OF PERCEPTION YES DIVERSITY OF FACT YES
1175,1176,si1176,To some extent predispositions are shaped by exposure to group environments.,TO SOME EXTENT PREDISPOSITIONS ARE SHAPED BY EXPOSURE TO GROUP ENVIRONMENTS,*/sample1176 TO SOME EXTENT PREDISPOSITIONS ARE SHAPED BY EXPOSURE TO GROUP ENVIRONMENTS
1176,1177,si1177,In some measure they depend upon the structure of individual personality.,IN SOME MEASURE THEY DEPEND UPON THE STRUCTURE OF INDIVIDUAL PERSONALITY,*/sample1177 IN SOME MEASURE THEY DEPEND UPON THE STRUCTURE OF INDIVIDUAL PERSONALITY
1177,1178,si1178,Many selections are themselves convincing contributions to this appraisal.,MANY SELECTIONS ARE THEMSELVES CONVINCING CONTRIBUTIONS TO THIS APPRAISAL,*/sample1178 MANY SELECTIONS ARE THEMSELVES CONVINCING CONTRIBUTIONS TO THIS APPRAISAL
1178,1179,si1179,What shall these effects be?,WHAT SHALL THESE EFFECTS BE,*/sample1179 WHAT SHALL THESE EFFECTS BE
1179,1180,si1180,What factors condition the degree of realization at various times and places?,WHAT FACTORS CONDITION THE DEGREE OF REALIZATION AT VARIOUS TIMES AND PLACES,*/sample1180 WHAT FACTORS CONDITION THE DEGREE OF REALIZATION AT VARIOUS TIMES AND PLACES
1180,1181,si1181,"Properly used, the present book is an excellent instrument of enlightenment.",PROPERLY USED THE PRESENT BOOK IS AN EXCELLENT INSTRUMENT OF ENLIGHTENMENT,*/sample1181 PROPERLY USED THE PRESENT BOOK IS AN EXCELLENT INSTRUMENT OF ENLIGHTENMENT
1181,1182,si1182,Let us differentiate a few of these ideas.,LET US DIFFERENTIATE A FEW OF THESE IDEAS,*/sample1182 LET US DIFFERENTIATE A FEW OF THESE IDEAS
1182,1183,si1183,"It is the obverse of triviality, shallowness, emotional anaesthesia.",IT IS THE OBVERSE OF TRIVIALITY SHALLOWNESS EMOTIONAL ANAESTHESIA,*/sample1183 IT IS THE OBVERSE OF TRIVIALITY SHALLOWNESS EMOTIONAL ANAESTHESIA
1183,1184,si1184,There results a study of literature freed from the tyranny of the contemporary.,THERE RESULTS A STUDY OF LITERATURE FREED FROM THE TYRANNY OF THE CONTEMPORARY,*/sample1184 THERE RESULTS A STUDY OF LITERATURE FREED FROM THE TYRANNY OF THE CONTEMPORARY
1184,1185,si1185,His technique is genuinely masterful.,HIS TECHNIQUE IS GENUINELY MASTERFUL,*/sample1185 HIS TECHNIQUE IS GENUINELY MASTERFUL
1185,1186,si1186,Questions came to me from all sides about my world citizenship activities.,QUESTIONS CAME TO ME FROM ALL SIDES ABOUT MY WORLD CITIZENSHIP ACTIVITIES,*/sample1186 QUESTIONS CAME TO ME FROM ALL SIDES ABOUT MY WORLD CITIZENSHIP ACTIVITIES
1186,1187,si1187,He advised immediate hospitalization.,HE ADVISED IMMEDIATE HOSPITALIZATION,*/sample1187 HE ADVISED IMMEDIATE HOSPITALIZATION
1187,1188,si1188,Maybe they will take us.,MAYBE THEY WILL TAKE US,*/sample1188 MAYBE THEY WILL TAKE US
1188,1189,si1189,Eight field guns were captured in position.,EIGHT FIELD GUNS WERE CAPTURED IN POSITION,*/sample1189 EIGHT FIELD GUNS WERE CAPTURED IN POSITION
1189,1190,si1190,Next best to destroying an army is to deprive it of its freedom of action.,NEXT BEST TO DESTROYING AN ARMY IS TO DEPRIVE IT OF ITS FREEDOM OF ACTION,*/sample1190 NEXT BEST TO DESTROYING AN ARMY IS TO DEPRIVE IT OF ITS FREEDOM OF ACTION
1190,1191,si1191,All chance of fulfilling my destiny is over.,ALL CHANCE OF FULFILLING MY DESTINY IS OVER,*/sample1191 ALL CHANCE OF FULFILLING MY DESTINY IS OVER
1191,1192,si1192,So of course he stayed put.,SO OF COURSE HE STAYED PUT,*/sample1192 SO OF COURSE HE STAYED PUT
1192,1193,si1193,He had collared one of his generals in public.,HE HAD COLLARED ONE OF HIS GENERALS IN PUBLIC,*/sample1193 HE HAD COLLARED ONE OF HIS GENERALS IN PUBLIC
1193,1194,si1194,Woe betide the interviewee if he answered vaguely.,WOE BETIDE THE INTERVIEWEE IF HE ANSWERED VAGUELY,*/sample1194 WOE BETIDE THE INTERVIEWEE IF HE ANSWERED VAGUELY
1194,1195,si1195,Passing dogs were greeted with a cordial bark.,PASSING DOGS WERE GREETED WITH A CORDIAL BARK,*/sample1195 PASSING DOGS WERE GREETED WITH A CORDIAL BARK
1195,1196,si1196,He had accordingly cultivated eccentricity to the point of second nature.,HE HAD ACCORDINGLY CULTIVATED ECCENTRICITY TO THE POINT OF SECOND NATURE,*/sample1196 HE HAD ACCORDINGLY CULTIVATED ECCENTRICITY TO THE POINT OF SECOND NATURE
1196,1197,si1197,"Transparent look, waxy skin -- could well be uremia.",TRANSPARENT LOOK WAXY SKIN  COULD WELL BE UREMIA,*/sample1197 TRANSPARENT LOOK WAXY SKIN  COULD WELL BE UREMIA
1197,1198,si1198,It is awe-inspiring.,IT IS AWE-INSPIRING,*/sample1198 IT IS AWE-INSPIRING
1198,1199,si1199,They close sometime after eight.,THEY CLOSE SOMETIME AFTER EIGHT,*/sample1199 THEY CLOSE SOMETIME AFTER EIGHT
1199,1200,si1200,"Let him become honest, and they discard him.",LET HIM BECOME HONEST AND THEY DISCARD HIM,*/sample1200 LET HIM BECOME HONEST AND THEY DISCARD HIM
1200,1201,si1201,We hope that he will execute it in a manner that will entitle him to credit.,WE HOPE THAT HE WILL EXECUTE IT IN A MANNER THAT WILL ENTITLE HIM TO CREDIT,*/sample1201 WE HOPE THAT HE WILL EXECUTE IT IN A MANNER THAT WILL ENTITLE HIM TO CREDIT
1201,1202,si1202,His artistic accomplishments guaranteed him entry into any social gathering.,HIS ARTISTIC ACCOMPLISHMENTS GUARANTEED HIM ENTRY INTO ANY SOCIAL GATHERING,*/sample1202 HIS ARTISTIC ACCOMPLISHMENTS GUARANTEED HIM ENTRY INTO ANY SOCIAL GATHERING
1202,1203,si1203,Instead of that he was engulfed by bedlam.,INSTEAD OF THAT HE WAS ENGULFED BY BEDLAM,*/sample1203 INSTEAD OF THAT HE WAS ENGULFED BY BEDLAM
1203,1204,si1204,The purchasers rejected the order in two letters written in vigorous terms.,THE PURCHASERS REJECTED THE ORDER IN TWO LETTERS WRITTEN IN VIGOROUS TERMS,*/sample1204 THE PURCHASERS REJECTED THE ORDER IN TWO LETTERS WRITTEN IN VIGOROUS TERMS
1204,1205,si1205,But we aren't going to let you give him any.,BUT WE AREN'T GOING TO LET YOU GIVE HIM ANY,*/sample1205 BUT WE AREN'T GOING TO LET YOU GIVE HIM ANY
1205,1206,si1206,All about him stood tombstones his own sensitive great hands had fashioned.,ALL ABOUT HIM STOOD TOMBSTONES HIS OWN SENSITIVE GREAT HANDS HAD FASHIONED,*/sample1206 ALL ABOUT HIM STOOD TOMBSTONES HIS OWN SENSITIVE GREAT HANDS HAD FASHIONED
1206,1207,si1207,"But they would reconsider it, they assured him, if he would rewrite it.",BUT THEY WOULD RECONSIDER IT THEY ASSURED HIM IF HE WOULD REWRITE IT,*/sample1207 BUT THEY WOULD RECONSIDER IT THEY ASSURED HIM IF HE WOULD REWRITE IT
1207,1208,si1208,This doctrine was repugnant to my moral sense.,THIS DOCTRINE WAS REPUGNANT TO MY MORAL SENSE,*/sample1208 THIS DOCTRINE WAS REPUGNANT TO MY MORAL SENSE
1208,1209,si1209,"If disobeyed, the result is turmoil and chaos.",IF DISOBEYED THE RESULT IS TURMOIL AND CHAOS,*/sample1209 IF DISOBEYED THE RESULT IS TURMOIL AND CHAOS
1209,1210,si1210,As we observe moral law and physical law they appear as being inevitable.,AS WE OBSERVE MORAL LAW AND PHYSICAL LAW THEY APPEAR AS BEING INEVITABLE,*/sample1210 AS WE OBSERVE MORAL LAW AND PHYSICAL LAW THEY APPEAR AS BEING INEVITABLE
1210,1211,si1211,Their basis seems deeper than mere authority.,THEIR BASIS SEEMS DEEPER THAN MERE AUTHORITY,*/sample1211 THEIR BASIS SEEMS DEEPER THAN MERE AUTHORITY
1211,1212,si1212,They are not true because scientists or prophets say they are true.,THEY ARE NOT TRUE BECAUSE SCIENTISTS OR PROPHETS SAY THEY ARE TRUE,*/sample1212 THEY ARE NOT TRUE BECAUSE SCIENTISTS OR PROPHETS SAY THEY ARE TRUE
1212,1213,si1213,My own experience has followed simpler lines.,MY OWN EXPERIENCE HAS FOLLOWED SIMPLER LINES,*/sample1213 MY OWN EXPERIENCE HAS FOLLOWED SIMPLER LINES
1213,1214,si1214,Religion thus becomes integrated with life.,RELIGION THUS BECOMES INTEGRATED WITH LIFE,*/sample1214 RELIGION THUS BECOMES INTEGRATED WITH LIFE
1214,1215,si1215,This truth that the moral law is natural has other important corollaries.,THIS TRUTH THAT THE MORAL LAW IS NATURAL HAS OTHER IMPORTANT COROLLARIES,*/sample1215 THIS TRUTH THAT THE MORAL LAW IS NATURAL HAS OTHER IMPORTANT COROLLARIES
1215,1216,si1216,Let us now give some thought to the soul.,LET US NOW GIVE SOME THOUGHT TO THE SOUL,*/sample1216 LET US NOW GIVE SOME THOUGHT TO THE SOUL
1216,1217,si1217,Only those story tellers will remain who can imitate the style of the virtuous.,ONLY THOSE STORY TELLERS WILL REMAIN WHO CAN IMITATE THE STYLE OF THE VIRTUOUS,*/sample1217 ONLY THOSE STORY TELLERS WILL REMAIN WHO CAN IMITATE THE STYLE OF THE VIRTUOUS
1217,1218,si1218,"Poets, moreover, dwell on human passions.",POETS MOREOVER DWELL ON HUMAN PASSIONS,*/sample1218 POETS MOREOVER DWELL ON HUMAN PASSIONS
1218,1219,si1219,Students' choices of ideal educational goals are not arbitrary or whimsical.,STUDENTS' CHOICES OF IDEAL EDUCATIONAL GOALS ARE NOT ARBITRARY OR WHIMSICAL,*/sample1219 STUDENTS' CHOICES OF IDEAL EDUCATIONAL GOALS ARE NOT ARBITRARY OR WHIMSICAL
1219,1220,si1220,"They also want money, prestige, and security.",THEY ALSO WANT MONEY PRESTIGE AND SECURITY,*/sample1220 THEY ALSO WANT MONEY PRESTIGE AND SECURITY
1220,1221,si1221,Conservatism and traditionalism seem implied by what has just been said.,CONSERVATISM AND TRADITIONALISM SEEM IMPLIED BY WHAT HAS JUST BEEN SAID,*/sample1221 CONSERVATISM AND TRADITIONALISM SEEM IMPLIED BY WHAT HAS JUST BEEN SAID
1221,1222,si1222,Avowed atheists or freethinkers are so rare as to be a curiosity.,AVOWED ATHEISTS OR FREETHINKERS ARE SO RARE AS TO BE A CURIOSITY,*/sample1222 AVOWED ATHEISTS OR FREETHINKERS ARE SO RARE AS TO BE A CURIOSITY
1222,1223,si1223,The redcoats ran like rabbits.,THE REDCOATS RAN LIKE RABBITS,*/sample1223 THE REDCOATS RAN LIKE RABBITS
1223,1224,si1224,This is nevertheless a minority view.,THIS IS NEVERTHELESS A MINORITY VIEW,*/sample1224 THIS IS NEVERTHELESS A MINORITY VIEW
1224,1225,si1225,The tragic stage is a platform extending precariously between heaven and hell.,THE TRAGIC STAGE IS A PLATFORM EXTENDING PRECARIOUSLY BETWEEN HEAVEN AND HELL,*/sample1225 THE TRAGIC STAGE IS A PLATFORM EXTENDING PRECARIOUSLY BETWEEN HEAVEN AND HELL
1225,1226,si1226,The wheel of social life spun around the royal or aristocratic centre.,THE WHEEL OF SOCIAL LIFE SPUN AROUND THE ROYAL OR ARISTOCRATIC CENTRE,*/sample1226 THE WHEEL OF SOCIAL LIFE SPUN AROUND THE ROYAL OR ARISTOCRATIC CENTRE
1226,1227,si1227,"From it, spokes of order and degree led to the outward rim of the common man.",FROM IT SPOKES OF ORDER AND DEGREE LED TO THE OUTWARD RIM OF THE COMMON MAN,*/sample1227 FROM IT SPOKES OF ORDER AND DEGREE LED TO THE OUTWARD RIM OF THE COMMON MAN
1227,1228,si1228,Tragedy presumes such a configuration.,TRAGEDY PRESUMES SUCH A CONFIGURATION,*/sample1228 TRAGEDY PRESUMES SUCH A CONFIGURATION
1228,1229,si1229,"Its sphere is that of royal courts, dynastic quarrels, and vaulting ambitions.",ITS SPHERE IS THAT OF ROYAL COURTS DYNASTIC QUARRELS AND VAULTING AMBITIONS,*/sample1229 ITS SPHERE IS THAT OF ROYAL COURTS DYNASTIC QUARRELS AND VAULTING AMBITIONS
1229,1230,si1230,Princes and factions clashed in the open street and died on the open scaffold.,PRINCES AND FACTIONS CLASHED IN THE OPEN STREET AND DIED ON THE OPEN SCAFFOLD,*/sample1230 PRINCES AND FACTIONS CLASHED IN THE OPEN STREET AND DIED ON THE OPEN SCAFFOLD
1230,1231,si1231,And their chroniclers are not the dramatic poets but the prose novelists.,AND THEIR CHRONICLERS ARE NOT THE DRAMATIC POETS BUT THE PROSE NOVELISTS,*/sample1231 AND THEIR CHRONICLERS ARE NOT THE DRAMATIC POETS BUT THE PROSE NOVELISTS
1231,1232,si1232,They were not yet prepared to accept it as irremediable.,THEY WERE NOT YET PREPARED TO ACCEPT IT AS IRREMEDIABLE,*/sample1232 THEY WERE NOT YET PREPARED TO ACCEPT IT AS IRREMEDIABLE
1232,1233,si1233,It made no difference that most evidence points to an opposite conclusion.,IT MADE NO DIFFERENCE THAT MOST EVIDENCE POINTS TO AN OPPOSITE CONCLUSION,*/sample1233 IT MADE NO DIFFERENCE THAT MOST EVIDENCE POINTS TO AN OPPOSITE CONCLUSION
1233,1234,si1234,But none of this could soothe the exacerbated nerves.,BUT NONE OF THIS COULD SOOTHE THE EXACERBATED NERVES,*/sample1234 BUT NONE OF THIS COULD SOOTHE THE EXACERBATED NERVES
1234,1235,si1235,We often say of a person that he looks young for his age or old for his age.,WE OFTEN SAY OF A PERSON THAT HE LOOKS YOUNG FOR HIS AGE OR OLD FOR HIS AGE,*/sample1235 WE OFTEN SAY OF A PERSON THAT HE LOOKS YOUNG FOR HIS AGE OR OLD FOR HIS AGE
1235,1236,si1236,"Boy, you ain't fooling nobody but yourself.",BOY YOU AIN'T FOOLING NOBODY BUT YOURSELF,*/sample1236 BOY YOU AIN'T FOOLING NOBODY BUT YOURSELF
1236,1237,si1237,We may say of some unfortunates that they were never young.,WE MAY SAY OF SOME UNFORTUNATES THAT THEY WERE NEVER YOUNG,*/sample1237 WE MAY SAY OF SOME UNFORTUNATES THAT THEY WERE NEVER YOUNG
